sample,configuration,teacher_action_mse
sample-0032.npz,W2 clipped,5.906464099884033
sample-0033.npz,W2 clipped,3.0461647510528564
sample-0034.npz,W2 clipped,2.444021224975586
sample-0035.npz,W2 clipped,5.492835521697998
sample-0036.npz,W2 clipped,3.6505610942840576
sample-0037.npz,W2 clipped,6.092998504638672
sample-0038.npz,W2 clipped,3.900662660598755
sample-0039.npz,W2 clipped,4.186206340789795
sample-0040.npz,W2 clipped,3.3633651733398438
sample-0041.npz,W2 clipped,1.876402735710144
sample-0042.npz,W2 clipped,5.870279788970947
sample-0043.npz,W2 clipped,5.4570136070251465
sample-0044.npz,W2 clipped,5.9220685958862305
sample-0045.npz,W2 clipped,5.646008014678955
sample-0046.npz,W2 clipped,2.3194563388824463
sample-0047.npz,W2 clipped,1.996530294418335
sample-0048.npz,W2 clipped,1.0393649339675903
sample-0049.npz,W2 clipped,4.268407344818115
sample-0050.npz,W2 clipped,6.391211032867432
sample-0051.npz,W2 clipped,5.884847164154053
sample-0052.npz,W2 clipped,5.5534348487854
sample-0053.npz,W2 clipped,1.6237987279891968
sample-0054.npz,W2 clipped,4.203688621520996
sample-0055.npz,W2 clipped,4.011560916900635
sample-0056.npz,W2 clipped,3.121891498565674
sample-0057.npz,W2 clipped,0.013108717277646065
sample-0058.npz,W2 clipped,3.6574995517730713
sample-0059.npz,W2 clipped,4.624210834503174
sample-0060.npz,W2 clipped,3.3785622119903564
sample-0061.npz,W2 clipped,4.775761604309082
sample-0062.npz,W2 clipped,4.441385746002197
sample-0063.npz,W2 clipped,4.663802146911621
sample-0032.npz,W2 no extra clip,0.07488526403903961
sample-0033.npz,W2 no extra clip,0.032558318227529526
sample-0034.npz,W2 no extra clip,0.04350657016038895
sample-0035.npz,W2 no extra clip,0.07343099266290665
sample-0036.npz,W2 no extra clip,0.03029440902173519
sample-0037.npz,W2 no extra clip,0.05547019839286804
sample-0038.npz,W2 no extra clip,0.01655271276831627
sample-0039.npz,W2 no extra clip,0.04843095690011978
sample-0040.npz,W2 no extra clip,0.041917432099580765
sample-0041.npz,W2 no extra clip,0.009364987723529339
sample-0042.npz,W2 no extra clip,0.0332048200070858
sample-0043.npz,W2 no extra clip,0.03797321766614914
sample-0044.npz,W2 no extra clip,0.11747515201568604
sample-0045.npz,W2 no extra clip,0.11616194248199463
sample-0046.npz,W2 no extra clip,0.153570294380188
sample-0047.npz,W2 no extra clip,0.026144687086343765
sample-0048.npz,W2 no extra clip,0.09118537604808807
sample-0049.npz,W2 no extra clip,0.030535921454429626
sample-0050.npz,W2 no extra clip,0.07152453809976578
sample-0051.npz,W2 no extra clip,0.04767659306526184
sample-0052.npz,W2 no extra clip,0.08877616375684738
sample-0053.npz,W2 no extra clip,0.04606352373957634
sample-0054.npz,W2 no extra clip,0.07062440365552902
sample-0055.npz,W2 no extra clip,0.04118549823760986
sample-0056.npz,W2 no extra clip,0.040284644812345505
sample-0057.npz,W2 no extra clip,0.03965300694108009
sample-0058.npz,W2 no extra clip,0.08852317184209824
sample-0059.npz,W2 no extra clip,0.05690649524331093
sample-0060.npz,W2 no extra clip,0.051794443279504776
sample-0061.npz,W2 no extra clip,0.0255790613591671
sample-0062.npz,W2 no extra clip,0.07021524012088776
sample-0063.npz,W2 no extra clip,0.031116817146539688
sample-0032.npz,Attention no clip,0.05869248881936073
sample-0033.npz,Attention no clip,0.014050489291548729
