task_id,init_state_index,bf16_success,w4_success,model_seed,env_seed,init_state_sha256,previously_screened
0,0,True,True,465287134,479881589,4e3eaf7a315bc3bafb6db4837c8eef0e5f8aea717782a2a3ea33139392d966ed,True
0,1,True,True,985901067,3713942108,6c2936dc25a97728b811f9db579687d011cbd231d5472e985775a67ca9892cf8,False
0,2,True,True,1089926278,2254903377,a5d4b6d871eb48c276a3fc8499e1429ec1c59df278466aa82de44a93260087a0,False
0,3,True,True,428639054,1269467499,c12064bdc97da3ba4ca3675548ba9c76ed096ea772bbec9ca9422628c41b1588,False
0,4,True,True,1138622588,976658741,63dbd6b627e35e377a62f3e791055bc9051a74cab6fef9eadce7892671160536,False
1,0,True,True,895221483,1902436990,d116842e01703fbea595511db813a3816c8d9f2302b4e979ebec4f15b7a750a2,True
1,1,True,True,2238682485,3193132351,b8757ca36fc25bb010af8934ff98b8d3a221cbd3a5e38e7b07cc8055c3108a0b,False
1,2,True,True,296476957,2264057504,d45a8bb759e662331e34b0ade8f7a4ca847993b682d3299aaa4894b340c845a0,False
1,3,True,True,27433045,3330955239,9cdfce0fe3434dc2c261272bc32dd3b56956de7c14e1e6d4c8a76aa7323e0f4d,False
1,4,True,True,1425332404,1406908098,97916cb27d2a1b9650016b93bbc33aa2855dfbdd11ded29650da8357c5c418e2,False
2,0,True,True,1881067349,149951664,408c455fb617e5320060d643ef80ec2035d4e98600659cc3deb5a1e85482bf76,True
2,1,True,True,2880381178,842477126,05962fe9baf173d80806225d32a331fa8eedcdb5c14a085ee5354715380c0f8f,False
2,2,True,True,3611984967,52979162,111971abb8f2e699872e68aa0ed445287da5c2ed642a5da083a9c9d4d90a6d12,False
2,3,True,True,3331343309,3892889163,8e240fdf6a9c939b6cbf573f7e07a29d3078fb53d22b17dc595b730c0de21fd4,False
2,4,True,True,1228687370,3817868962,ec0ce01e43aac4b4465f6d7932a486df948ce36a096fe5970b677623505673a8,False
3,0,True,True,317574532,83054608,36424fa758f0e72399a35cefa285d0658e4b5bd17bfb3e2127f85aa2e0944517,True
3,1,True,True,1605081372,974896410,3a92ca9cb754b9daca5db603179f05e323c01209edfaf5d287655d5998252f9f,False
3,2,True,True,3086421667,3267605957,1b7b03eb038b60bd3d265226a1f5832c44ebb968731ac264f8983ceebb1774e5,False
3,3,True,True,3235596642,5015874,904c8983a02abc68413c2b0c2b1863f9b7f97a5948b718b9ae113727777ae23a,False
3,4,True,True,2186097654,3841510475,6aac318bd2ff7b4e940c094d4d4eb128449f99e34ce1fc2fb6e3bdba1c474b95,False
4,0,False,False,2839725875,454137582,2e3f91b350eaef1b23c2d4ee14c513b2158a106bff7ed6c249b58e2cf89367f4,True
4,1,False,False,17835078,3770009552,d1f552d41794709fdcdccf886e4be6384f15a50c1d0e6227a99e08d86e19e23e,False
4,2,True,True,1139478388,2331244752,d5a2a728be37ce588fd1326df08b48cb9e1913b333c6719bb7059308783d4731,False
4,3,True,True,2244253804,4237915398,7e950b4903eb62f247605b60952d62aca17222446e05c299de3d8b615756a2fb,False
4,4,True,True,4040856599,1182429550,eacc257cf75be38a89bdf75e5300cded0aee0ec1d0a2ac4b91d4c4cdb11c763b,False
5,0,True,True,1544747915,1251647445,63f019944e240d60a5770936f1eaa3853e38bbfeb1c26c987826fb004ed4346c,True
5,1,True,True,2607068595,2672444698,7e74f7975ea3899ecb94c8bee1f302127d74c600d13393826d7537db89bf9cc1,False
5,2,True,True,1925045440,3347614016,56ae454858e60cf316c3e75237109ba85d8808ab2ef57108c3f9b96c1e839ff3,False
5,3,True,True,2281271119,1545292882,316d2aba39523fa1219e5fd61ee263535f5d42fa5b34541af5397ddbb4de0f9f,False
5,4,True,True,2897598532,517198148,b41c19206da1db4e005476e6a4c4e077a5511aaa69cf52614dc483a9bd53773c,False
6,0,True,True,1638194258,826398649,d81530779b15be6bdfe4935a7a802102e3e3883823b29fefd40a2131e50fd515,True
6,1,True,True,1927004058,143569100,1f2318d9cbd670217d18ba98020fb95f9969550b5cb30709224eb6f2d08319cf,False
6,2,True,True,1576122731,335908416,f6387456ce397a4ffbd6700d00f37cf068df8df4c085350ecd576be0c06fe838,False
6,3,True,True,1173289843,3969167129,d19a9fb4d0ecb282facdf60aeb779a54566f6650fa8886721c253c21e5b4411c,False
