input_condition,layer,variant,median_action_token_relative_mse,selected_frames
teacher,10,bf16,0.0,3
teacher,10,w2_scale,1.4006830693333308e-05,3
teacher,10,w2_scale_clip,0.006194914769178045,3
teacher,10,w2_no_clip,0.06574633180506856,3
teacher,10,w2_full,0.027269168602395772,3
teacher,10,w2_protect_attention,0.01214636800328097,3
teacher,10,w2_protect_mlp,0.015745012729808893,3
teacher,10,w4_full,0.0016988335387521974,3
teacher,11,bf16,0.0,3
teacher,11,w2_scale,1.582099324408491e-05,3
teacher,11,w2_scale_clip,0.007652454631723751,3
teacher,11,w2_no_clip,0.08315214562963488,3
teacher,11,w2_full,0.04434862668546275,3
teacher,11,w2_protect_attention,0.01415464853426973,3
teacher,11,w2_protect_mlp,0.031569336088411344,3
teacher,11,w4_full,0.0022671094484685065,3
teacher,12,bf16,0.0,3
teacher,12,w2_scale,1.4309983233024487e-05,3
teacher,12,w2_scale_clip,0.009602646601664986,3
teacher,12,w2_no_clip,0.08743457064669559,3
teacher,12,w2_full,0.045768505789915856,3
teacher,12,w2_protect_attention,0.016369062930496066,3
teacher,12,w2_protect_mlp,0.029868385245454182,3
teacher,12,w4_full,0.0026111884897879853,3
teacher,25,bf16,0.0,3
teacher,25,w2_scale,1.291231276120235e-05,3
teacher,25,w2_scale_clip,0.008022735617982406,3
teacher,25,w2_no_clip,0.08335149509716516,3
teacher,25,w2_full,0.04122535997349904,3
teacher,25,w2_protect_attention,0.025363133668168912,3
teacher,25,w2_protect_mlp,0.012691900875545606,3
teacher,25,w4_full,0.002472318773166319,3
teacher,26,bf16,0.0,3
teacher,26,w2_scale,7.875959729442982e-06,3
teacher,26,w2_scale_clip,0.005872375461534731,3
teacher,26,w2_no_clip,0.05094615080142659,3
teacher,26,w2_full,0.023524036670734747,3
teacher,26,w2_protect_attention,0.01777028526747271,3
teacher,26,w2_protect_mlp,0.007921657228260482,3
teacher,26,w4_full,0.001376829165871659,3
w2_upstream,10,bf16,0.0,3
w2_upstream,10,w2_scale,1.6062493118975798e-05,3
w2_upstream,10,w2_scale_clip,0.008789334182272705,3
w2_upstream,10,w2_no_clip,0.09712275962122359,3
w2_upstream,10,w2_full,0.03998402343857303,3
w2_upstream,10,w2_protect_attention,0.01979626350028025,3
w2_upstream,10,w2_protect_mlp,0.02126359662471807,3
w2_upstream,10,w4_full,0.002391027595457918,3
w2_upstream,11,bf16,0.0,3
w2_upstream,11,w2_scale,2.2544266903215363e-05,3
w2_upstream,11,w2_scale_clip,0.011501082843572416,3
w2_upstream,11,w2_no_clip,0.11158953414526417,3
w2_upstream,11,w2_full,0.06332798437045141,3
w2_upstream,11,w2_protect_attention,0.024832229446043096,3
w2_upstream,11,w2_protect_mlp,0.041605018949397735,3
w2_upstream,11,w4_full,0.0033608536383323544,3
w2_upstream,12,bf16,0.0,3
w2_upstream,12,w2_scale,1.4491547369779559e-05,3
w2_upstream,12,w2_scale_clip,0.008755908079615432,3
w2_upstream,12,w2_no_clip,0.09318217881765604,3
w2_upstream,12,w2_full,0.05906067303983276,3
w2_upstream,12,w2_protect_attention,0.025952496936872425,3
w2_upstream,12,w2_protect_mlp,0.03349148271728799,3
w2_upstream,12,w4_full,0.0033874707762746813,3
w2_upstream,25,bf16,0.0,3
w2_upstream,25,w2_scale,1.491159429996574e-05,3
w2_upstream,25,w2_scale_clip,0.009465395388218762,3
w2_upstream,25,w2_no_clip,0.1154641699598938,3
w2_upstream,25,w2_full,0.05549101911522955,3
w2_upstream,25,w2_protect_attention,0.038812840195957064,3
w2_upstream,25,w2_protect_mlp,0.01510412616519656,3
w2_upstream,25,w4_full,0.003365489806775778,3
w2_upstream,26,bf16,0.0,3
w2_upstream,26,w2_scale,9.849122334434827e-06,3
w2_upstream,26,w2_scale_clip,0.0058036554750765705,3
w2_upstream,26,w2_no_clip,0.07643085440981492,3
w2_upstream,26,w2_full,0.036335843488624724,3
w2_upstream,26,w2_protect_attention,0.026438454909859913,3
w2_upstream,26,w2_protect_mlp,0.009272937472209765,3
w2_upstream,26,w4_full,0.002124664260754739,3
