configuration,sample,teacher_action_mse,baseline_teacher_action_mse,gripper_disagreements
attention,sample-1000.npz,0.05014998838305473,0.04699644446372986,0
attention,sample-1001.npz,0.07786977291107178,0.14707539975643158,0
attention,sample-1002.npz,0.06948526203632355,0.08581538498401642,1
attention,sample-1003.npz,0.07680647075176239,0.0988268330693245,0
attention,sample-1004.npz,0.04710482805967331,0.06209820508956909,0
attention,sample-1005.npz,0.016160819679498672,0.027614500373601913,0
attention,sample-1006.npz,0.025285819545388222,0.04872210696339607,0
attention,sample-1007.npz,0.015893876552581787,0.023142751306295395,0
attention,sample-1008.npz,0.028711315244436264,0.06720038503408432,0
attention,sample-1009.npz,0.008657501079142094,0.009663169272243977,0
attention,sample-1010.npz,0.068822480738163,0.07302124053239822,1
attention,sample-1011.npz,0.0468139573931694,0.06691315025091171,0
attention,sample-1012.npz,0.08694025129079819,0.11053197085857391,1
attention,sample-1013.npz,0.04151412472128868,0.06003414839506149,0
attention,sample-1014.npz,0.08404452353715897,0.1347767859697342,0
attention,sample-1015.npz,0.02093893475830555,0.03209623321890831,0
attention,sample-1016.npz,0.015017230994999409,0.0316205732524395,0
attention,sample-1017.npz,0.04161599650979042,0.05450320988893509,0
attention,sample-1018.npz,0.04282955080270767,0.08028547465801239,0
attention,sample-1019.npz,0.1468866914510727,0.17896972596645355,0
attention,sample-1020.npz,0.029915710911154747,0.03321811556816101,1
attention,sample-1021.npz,0.02171236462891102,0.028770562261343002,0
attention,sample-1022.npz,0.03095492161810398,0.03556874766945839,0
attention,sample-1023.npz,0.03658778592944145,0.07021887600421906,0
attention,sample-1024.npz,0.08666526526212692,0.14691388607025146,0
attention,sample-1025.npz,0.0429002121090889,0.0642600879073143,1
attention,sample-1026.npz,0.06463899463415146,0.11862081289291382,0
attention,sample-1027.npz,0.08407537639141083,0.11765632778406143,4
attention,sample-1028.npz,0.025624394416809082,0.026821613311767578,0
attention,sample-1029.npz,0.02110469527542591,0.023260008543729782,0
attention,sample-1030.npz,0.04629725217819214,0.1049315333366394,0
attention,sample-1031.npz,0.013705216348171234,0.021103229373693466,0
mlp,sample-1000.npz,0.03925397992134094,0.04699644446372986,0
mlp,sample-1001.npz,0.047169577330350876,0.14707539975643158,0
mlp,sample-1002.npz,0.06928468495607376,0.08581538498401642,1
mlp,sample-1003.npz,0.07040039449930191,0.0988268330693245,0
mlp,sample-1004.npz,0.04250282794237137,0.06209820508956909,0
mlp,sample-1005.npz,0.021691206842660904,0.027614500373601913,0
mlp,sample-1006.npz,0.031980860978364944,0.04872210696339607,0
mlp,sample-1007.npz,0.01577298901975155,0.023142751306295395,0
mlp,sample-1008.npz,0.04655131325125694,0.06720038503408432,0
mlp,sample-1009.npz,0.008848262019455433,0.009663169272243977,0
mlp,sample-1010.npz,0.06706530600786209,0.07302124053239822,1
mlp,sample-1011.npz,0.050627488642930984,0.06691315025091171,0
mlp,sample-1012.npz,0.07685700803995132,0.11053197085857391,1
mlp,sample-1013.npz,0.03541892021894455,0.06003414839506149,0
mlp,sample-1014.npz,0.11006183177232742,0.1347767859697342,1
mlp,sample-1015.npz,0.030503716319799423,0.03209623321890831,0
mlp,sample-1016.npz,0.018503962084650993,0.0316205732524395,0
mlp,sample-1017.npz,0.03043559193611145,0.05450320988893509,0
mlp,sample-1018.npz,0.05140712857246399,0.08028547465801239,0
mlp,sample-1019.npz,0.1420014202594757,0.17896972596645355,0
mlp,sample-1020.npz,0.03263843059539795,0.03321811556816101,1
mlp,sample-1021.npz,0.019598910585045815,0.028770562261343002,0
mlp,sample-1022.npz,0.03466387838125229,0.03556874766945839,0
mlp,sample-1023.npz,0.03718956559896469,0.07021887600421906,0
mlp,sample-1024.npz,0.10330211371183395,0.14691388607025146,0
mlp,sample-1025.npz,0.048609111458063126,0.0642600879073143,1
mlp,sample-1026.npz,0.08660002797842026,0.11862081289291382,0
mlp,sample-1027.npz,0.082240529358387,0.11765632778406143,4
mlp,sample-1028.npz,0.028521176427602768,0.026821613311767578,0
mlp,sample-1029.npz,0.02166283130645752,0.023260008543729782,0
mlp,sample-1030.npz,0.04345240071415901,0.1049315333366394,0
mlp,sample-1031.npz,0.014465860091149807,0.021103229373693466,0
