configuration,sample,block,token_partition,relative_mse,cosine,max_abs_error
repeat,sample-0064.npz,0,image_main,0.0,0.9999995231628418,0.0
repeat,sample-0064.npz,0,image_wrist,0.0,1.0000014305114746,0.0
repeat,sample-0064.npz,0,proprio,0.0,1.0000004768371582,0.0
repeat,sample-0064.npz,0,text,0.0,0.9999984502792358,0.0
repeat,sample-0064.npz,0,action_readout,0.0,1.0000088214874268,0.0
repeat,sample-0064.npz,1,image_main,0.0,0.9999995827674866,0.0
repeat,sample-0064.npz,1,image_wrist,0.0,1.0000016689300537,0.0
repeat,sample-0064.npz,1,proprio,0.0,1.0000007152557373,0.0
repeat,sample-0064.npz,1,text,0.0,1.0000008344650269,0.0
repeat,sample-0064.npz,1,action_readout,0.0,0.9999904632568359,0.0
repeat,sample-0064.npz,2,image_main,0.0,0.9999991655349731,0.0
repeat,sample-0064.npz,2,image_wrist,0.0,0.999998927116394,0.0
repeat,sample-0064.npz,2,proprio,0.0,1.0000005960464478,0.0
repeat,sample-0064.npz,2,text,0.0,1.000001072883606,0.0
repeat,sample-0064.npz,2,action_readout,0.0,0.9999859929084778,0.0
repeat,sample-0064.npz,3,image_main,0.0,0.999998927116394,0.0
repeat,sample-0064.npz,3,image_wrist,0.0,0.9999992251396179,0.0
repeat,sample-0064.npz,3,proprio,0.0,1.0000007152557373,0.0
repeat,sample-0064.npz,3,text,0.0,1.0000009536743164,0.0
repeat,sample-0064.npz,3,action_readout,0.0,0.9999850988388062,0.0
repeat,sample-0064.npz,4,image_main,0.0,0.9999992847442627,0.0
repeat,sample-0064.npz,4,image_wrist,0.0,0.9999994039535522,0.0
repeat,sample-0064.npz,4,proprio,0.0,1.0000004768371582,0.0
repeat,sample-0064.npz,4,text,0.0,1.0000007152557373,0.0
repeat,sample-0064.npz,4,action_readout,0.0,0.9999852180480957,0.0
repeat,sample-0064.npz,5,image_main,0.0,0.9999995231628418,0.0
repeat,sample-0064.npz,5,image_wrist,0.0,0.9999999403953552,0.0
repeat,sample-0064.npz,5,proprio,0.0,1.0000005960464478,0.0
repeat,sample-0064.npz,5,text,0.0,1.0000009536743164,0.0
repeat,sample-0064.npz,5,action_readout,0.0,0.9999841451644897,0.0
repeat,sample-0064.npz,6,image_main,0.0,0.9999996423721313,0.0
repeat,sample-0064.npz,6,image_wrist,0.0,0.9999996423721313,0.0
repeat,sample-0064.npz,6,proprio,0.0,1.0000005960464478,0.0
repeat,sample-0064.npz,6,text,0.0,1.0000011920928955,0.0
repeat,sample-0064.npz,6,action_readout,0.0,0.999984622001648,0.0
repeat,sample-0064.npz,7,image_main,0.0,0.9999991655349731,0.0
repeat,sample-0064.npz,7,image_wrist,0.0,1.0,0.0
repeat,sample-0064.npz,7,proprio,0.0,1.0000004768371582,0.0
repeat,sample-0064.npz,7,text,0.0,1.000001311302185,0.0
repeat,sample-0064.npz,7,action_readout,0.0,0.9999860525131226,0.0
repeat,sample-0064.npz,8,image_main,0.0,0.9999992847442627,0.0
repeat,sample-0064.npz,8,image_wrist,0.0,1.0000005960464478,0.0
repeat,sample-0064.npz,8,proprio,0.0,1.0000004768371582,0.0
repeat,sample-0064.npz,8,text,0.0,1.0000011920928955,0.0
repeat,sample-0064.npz,8,action_readout,0.0,0.9999858140945435,0.0
repeat,sample-0064.npz,9,image_main,0.0,0.9999993443489075,0.0
repeat,sample-0064.npz,9,image_wrist,0.0,1.0000007152557373,0.0
