configuration,sample,teacher_action_mse,baseline_teacher_action_mse,gripper_disagreements
W2 no-clip baseline,sample-1000.npz,0.04699644446372986,0.04699644446372986,0
W2 no-clip baseline,sample-1001.npz,0.14707539975643158,0.14707539975643158,0
W2 no-clip baseline,sample-1002.npz,0.08581538498401642,0.08581538498401642,2
W2 no-clip baseline,sample-1003.npz,0.0988268330693245,0.0988268330693245,0
W2 no-clip baseline,sample-1004.npz,0.06209820508956909,0.06209820508956909,0
W2 no-clip baseline,sample-1005.npz,0.027614500373601913,0.027614500373601913,0
W2 no-clip baseline,sample-1006.npz,0.04872210696339607,0.04872210696339607,0
W2 no-clip baseline,sample-1007.npz,0.023142751306295395,0.023142751306295395,0
W2 no-clip baseline,sample-1008.npz,0.06720038503408432,0.06720038503408432,0
W2 no-clip baseline,sample-1009.npz,0.009663169272243977,0.009663169272243977,0
W2 no-clip baseline,sample-1010.npz,0.07302124053239822,0.07302124053239822,1
W2 no-clip baseline,sample-1011.npz,0.06691315025091171,0.06691315025091171,0
W2 no-clip baseline,sample-1012.npz,0.11053197085857391,0.11053197085857391,2
W2 no-clip baseline,sample-1013.npz,0.06003414839506149,0.06003414839506149,0
W2 no-clip baseline,sample-1014.npz,0.1347767859697342,0.1347767859697342,1
W2 no-clip baseline,sample-1015.npz,0.03209623321890831,0.03209623321890831,0
W2 no-clip baseline,sample-1016.npz,0.0316205732524395,0.0316205732524395,0
W2 no-clip baseline,sample-1017.npz,0.05450320988893509,0.05450320988893509,0
W2 no-clip baseline,sample-1018.npz,0.08028547465801239,0.08028547465801239,0
W2 no-clip baseline,sample-1019.npz,0.17896972596645355,0.17896972596645355,0
W2 no-clip baseline,sample-1020.npz,0.03321811556816101,0.03321811556816101,0
W2 no-clip baseline,sample-1021.npz,0.028770562261343002,0.028770562261343002,0
W2 no-clip baseline,sample-1022.npz,0.03556874766945839,0.03556874766945839,0
W2 no-clip baseline,sample-1023.npz,0.07021887600421906,0.07021887600421906,0
W2 no-clip baseline,sample-1024.npz,0.14691388607025146,0.14691388607025146,0
W2 no-clip baseline,sample-1025.npz,0.0642600879073143,0.0642600879073143,2
W2 no-clip baseline,sample-1026.npz,0.11862081289291382,0.11862081289291382,0
W2 no-clip baseline,sample-1027.npz,0.11765632778406143,0.11765632778406143,5
W2 no-clip baseline,sample-1028.npz,0.026821613311767578,0.026821613311767578,0
W2 no-clip baseline,sample-1029.npz,0.023260008543729782,0.023260008543729782,0
W2 no-clip baseline,sample-1030.npz,0.1049315333366394,0.1049315333366394,2
W2 no-clip baseline,sample-1031.npz,0.021103229373693466,0.021103229373693466,0
"W4 blocks 0,1,2,3,4,5,6,7",sample-1000.npz,0.044868551194667816,0.04699644446372986,0
"W4 blocks 0,1,2,3,4,5,6,7",sample-1001.npz,0.0721563771367073,0.14707539975643158,0
"W4 blocks 0,1,2,3,4,5,6,7",sample-1002.npz,0.06566434353590012,0.08581538498401642,1
"W4 blocks 0,1,2,3,4,5,6,7",sample-1003.npz,0.08677458763122559,0.0988268330693245,0
"W4 blocks 0,1,2,3,4,5,6,7",sample-1004.npz,0.05328136682510376,0.06209820508956909,0
"W4 blocks 0,1,2,3,4,5,6,7",sample-1005.npz,0.021296778693795204,0.027614500373601913,0
"W4 blocks 0,1,2,3,4,5,6,7",sample-1006.npz,0.03572527691721916,0.04872210696339607,0
"W4 blocks 0,1,2,3,4,5,6,7",sample-1007.npz,0.016880543902516365,0.023142751306295395,0
"W4 blocks 0,1,2,3,4,5,6,7",sample-1008.npz,0.048706281930208206,0.06720038503408432,0
"W4 blocks 0,1,2,3,4,5,6,7",sample-1009.npz,0.006581540685147047,0.009663169272243977,0
"W4 blocks 0,1,2,3,4,5,6,7",sample-1010.npz,0.05354820564389229,0.07302124053239822,1
"W4 blocks 0,1,2,3,4,5,6,7",sample-1011.npz,0.05839933827519417,0.06691315025091171,0
"W4 blocks 0,1,2,3,4,5,6,7",sample-1012.npz,0.10307849198579788,0.11053197085857391,2
"W4 blocks 0,1,2,3,4,5,6,7",sample-1013.npz,0.0514853410422802,0.06003414839506149,0
"W4 blocks 0,1,2,3,4,5,6,7",sample-1014.npz,0.08165823668241501,0.1347767859697342,0
"W4 blocks 0,1,2,3,4,5,6,7",sample-1015.npz,0.016778767108917236,0.03209623321890831,0
"W4 blocks 0,1,2,3,4,5,6,7",sample-1016.npz,0.02277437224984169,0.0316205732524395,0
"W4 blocks 0,1,2,3,4,5,6,7",sample-1017.npz,0.03364786133170128,0.05450320988893509,0
"W4 blocks 0,1,2,3,4,5,6,7",sample-1018.npz,0.047693993896245956,0.08028547465801239,0
"W4 blocks 0,1,2,3,4,5,6,7",sample-1019.npz,0.13226136565208435,0.17896972596645355,0
"W4 blocks 0,1,2,3,4,5,6,7",sample-1020.npz,0.033583518117666245,0.03321811556816101,0
"W4 blocks 0,1,2,3,4,5,6,7",sample-1021.npz,0.02167387120425701,0.028770562261343002,0
"W4 blocks 0,1,2,3,4,5,6,7",sample-1022.npz,0.031347986310720444,0.03556874766945839,0
"W4 blocks 0,1,2,3,4,5,6,7",sample-1023.npz,0.04570737108588219,0.07021887600421906,0
"W4 blocks 0,1,2,3,4,5,6,7",sample-1024.npz,0.10678882896900177,0.14691388607025146,0
"W4 blocks 0,1,2,3,4,5,6,7",sample-1025.npz,0.04845442995429039,0.0642600879073143,0
"W4 blocks 0,1,2,3,4,5,6,7",sample-1026.npz,0.06417147070169449,0.11862081289291382,0
"W4 blocks 0,1,2,3,4,5,6,7",sample-1027.npz,0.11267878115177155,0.11765632778406143,5
"W4 blocks 0,1,2,3,4,5,6,7",sample-1028.npz,0.025491198524832726,0.026821613311767578,0
"W4 blocks 0,1,2,3,4,5,6,7",sample-1029.npz,0.023487359285354614,0.023260008543729782,0
"W4 blocks 0,1,2,3,4,5,6,7",sample-1030.npz,0.05556071922183037,0.1049315333366394,0
"W4 blocks 0,1,2,3,4,5,6,7",sample-1031.npz,0.0169693473726511,0.021103229373693466,0
"W4 blocks 8,9,10,11,12,13,14,15",sample-1000.npz,0.027782853692770004,0.04699644446372986,0
"W4 blocks 8,9,10,11,12,13,14,15",sample-1001.npz,0.04184512421488762,0.14707539975643158,0
"W4 blocks 8,9,10,11,12,13,14,15",sample-1002.npz,0.04518524929881096,0.08581538498401642,0
"W4 blocks 8,9,10,11,12,13,14,15",sample-1003.npz,0.04830138757824898,0.0988268330693245,0
"W4 blocks 8,9,10,11,12,13,14,15",sample-1004.npz,0.0251157246530056,0.06209820508956909,0
"W4 blocks 8,9,10,11,12,13,14,15",sample-1005.npz,0.011523564346134663,0.027614500373601913,0
"W4 blocks 8,9,10,11,12,13,14,15",sample-1006.npz,0.02118288166821003,0.04872210696339607,0
"W4 blocks 8,9,10,11,12,13,14,15",sample-1007.npz,0.014029337093234062,0.023142751306295395,0
"W4 blocks 8,9,10,11,12,13,14,15",sample-1008.npz,0.015047251246869564,0.06720038503408432,0
"W4 blocks 8,9,10,11,12,13,14,15",sample-1009.npz,0.0028296157252043486,0.009663169272243977,0
"W4 blocks 8,9,10,11,12,13,14,15",sample-1010.npz,0.05761101096868515,0.07302124053239822,1
"W4 blocks 8,9,10,11,12,13,14,15",sample-1011.npz,0.026568666100502014,0.06691315025091171,0
"W4 blocks 8,9,10,11,12,13,14,15",sample-1012.npz,0.047450773417949677,0.11053197085857391,0
"W4 blocks 8,9,10,11,12,13,14,15",sample-1013.npz,0.014454263262450695,0.06003414839506149,0
"W4 blocks 8,9,10,11,12,13,14,15",sample-1014.npz,0.058823078870773315,0.1347767859697342,0
"W4 blocks 8,9,10,11,12,13,14,15",sample-1015.npz,0.02175768092274666,0.03209623321890831,0
"W4 blocks 8,9,10,11,12,13,14,15",sample-1016.npz,0.011675918474793434,0.0316205732524395,0
"W4 blocks 8,9,10,11,12,13,14,15",sample-1017.npz,0.026448026299476624,0.05450320988893509,0
"W4 blocks 8,9,10,11,12,13,14,15",sample-1018.npz,0.03435394912958145,0.08028547465801239,0
"W4 blocks 8,9,10,11,12,13,14,15",sample-1019.npz,0.07375713437795639,0.17896972596645355,0
"W4 blocks 8,9,10,11,12,13,14,15",sample-1020.npz,0.009581473655998707,0.03321811556816101,0
"W4 blocks 8,9,10,11,12,13,14,15",sample-1021.npz,0.010265037417411804,0.028770562261343002,0
"W4 blocks 8,9,10,11,12,13,14,15",sample-1022.npz,0.025378089398145676,0.03556874766945839,0
"W4 blocks 8,9,10,11,12,13,14,15",sample-1023.npz,0.024433070793747902,0.07021887600421906,0
"W4 blocks 8,9,10,11,12,13,14,15",sample-1024.npz,0.051227156072854996,0.14691388607025146,0
"W4 blocks 8,9,10,11,12,13,14,15",sample-1025.npz,0.02389662154018879,0.0642600879073143,1
"W4 blocks 8,9,10,11,12,13,14,15",sample-1026.npz,0.04861852899193764,0.11862081289291382,0
"W4 blocks 8,9,10,11,12,13,14,15",sample-1027.npz,0.050035130232572556,0.11765632778406143,2
"W4 blocks 8,9,10,11,12,13,14,15",sample-1028.npz,0.019598696380853653,0.026821613311767578,0
"W4 blocks 8,9,10,11,12,13,14,15",sample-1029.npz,0.020867330953478813,0.023260008543729782,0
"W4 blocks 8,9,10,11,12,13,14,15",sample-1030.npz,0.03339064121246338,0.1049315333366394,0
"W4 blocks 8,9,10,11,12,13,14,15",sample-1031.npz,0.007040832657366991,0.021103229373693466,0
"W4 blocks 16,17,18,19,20,21,22,23",sample-1000.npz,0.027914494276046753,0.04699644446372986,0
"W4 blocks 16,17,18,19,20,21,22,23",sample-1001.npz,0.040684811770915985,0.14707539975643158,0
"W4 blocks 16,17,18,19,20,21,22,23",sample-1002.npz,0.04085731506347656,0.08581538498401642,0
"W4 blocks 16,17,18,19,20,21,22,23",sample-1003.npz,0.05055886134505272,0.0988268330693245,0
"W4 blocks 16,17,18,19,20,21,22,23",sample-1004.npz,0.03741519898176193,0.06209820508956909,0
"W4 blocks 16,17,18,19,20,21,22,23",sample-1005.npz,0.010293900035321712,0.027614500373601913,0
"W4 blocks 16,17,18,19,20,21,22,23",sample-1006.npz,0.026428641751408577,0.04872210696339607,0
"W4 blocks 16,17,18,19,20,21,22,23",sample-1007.npz,0.010105947963893414,0.023142751306295395,0
"W4 blocks 16,17,18,19,20,21,22,23",sample-1008.npz,0.02880208194255829,0.06720038503408432,0
"W4 blocks 16,17,18,19,20,21,22,23",sample-1009.npz,0.0037506718654185534,0.009663169272243977,0
