task_id,configuration,requested_frame,actual_frame,video_frames,source_video
5,stage-08-15,0,0,220,/root/rollouts/2026_09_16/2026_09_16-19_14_57--openvla_oft--episode=6--success=False--task=pick_up_the_black_bowl_on_the_ramekin_and_place_it.mp4
5,stage-08-15,40,40,220,/root/rollouts/2026_09_16/2026_09_16-19_14_57--openvla_oft--episode=6--success=False--task=pick_up_the_black_bowl_on_the_ramekin_and_place_it.mp4
5,stage-08-15,80,80,220,/root/rollouts/2026_09_16/2026_09_16-19_14_57--openvla_oft--episode=6--success=False--task=pick_up_the_black_bowl_on_the_ramekin_and_place_it.mp4
5,stage-08-15,120,120,220,/root/rollouts/2026_09_16/2026_09_16-19_14_57--openvla_oft--episode=6--success=False--task=pick_up_the_black_bowl_on_the_ramekin_and_place_it.mp4
5,stage-08-15,160,160,220,/root/rollouts/2026_09_16/2026_09_16-19_14_57--openvla_oft--episode=6--success=False--task=pick_up_the_black_bowl_on_the_ramekin_and_place_it.mp4
5,stage-08-15,219,219,220,/root/rollouts/2026_09_16/2026_09_16-19_14_57--openvla_oft--episode=6--success=False--task=pick_up_the_black_bowl_on_the_ramekin_and_place_it.mp4
5,stage-08-23,0,0,97,/root/rollouts/2026_09_16/2026_09_16-19_18_08--openvla_oft--episode=6--success=True--task=pick_up_the_black_bowl_on_the_ramekin_and_place_it.mp4
5,stage-08-23,40,40,97,/root/rollouts/2026_09_16/2026_09_16-19_18_08--openvla_oft--episode=6--success=True--task=pick_up_the_black_bowl_on_the_ramekin_and_place_it.mp4
5,stage-08-23,80,80,97,/root/rollouts/2026_09_16/2026_09_16-19_18_08--openvla_oft--episode=6--success=True--task=pick_up_the_black_bowl_on_the_ramekin_and_place_it.mp4
5,stage-08-23,120,96,97,/root/rollouts/2026_09_16/2026_09_16-19_18_08--openvla_oft--episode=6--success=True--task=pick_up_the_black_bowl_on_the_ramekin_and_place_it.mp4
5,stage-08-23,160,96,97,/root/rollouts/2026_09_16/2026_09_16-19_18_08--openvla_oft--episode=6--success=True--task=pick_up_the_black_bowl_on_the_ramekin_and_place_it.mp4
5,stage-08-23,219,96,97,/root/rollouts/2026_09_16/2026_09_16-19_18_08--openvla_oft--episode=6--success=True--task=pick_up_the_black_bowl_on_the_ramekin_and_place_it.mp4
7,stage-08-15,0,0,220,/root/rollouts/2026_09_16/2026_09_16-19_14_57--openvla_oft--episode=8--success=False--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4
7,stage-08-15,40,40,220,/root/rollouts/2026_09_16/2026_09_16-19_14_57--openvla_oft--episode=8--success=False--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4
7,stage-08-15,80,80,220,/root/rollouts/2026_09_16/2026_09_16-19_14_57--openvla_oft--episode=8--success=False--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4
7,stage-08-15,120,120,220,/root/rollouts/2026_09_16/2026_09_16-19_14_57--openvla_oft--episode=8--success=False--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4
7,stage-08-15,160,160,220,/root/rollouts/2026_09_16/2026_09_16-19_14_57--openvla_oft--episode=8--success=False--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4
7,stage-08-15,219,219,220,/root/rollouts/2026_09_16/2026_09_16-19_14_57--openvla_oft--episode=8--success=False--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4
7,stage-08-23,0,0,110,/root/rollouts/2026_09_16/2026_09_16-19_18_08--openvla_oft--episode=8--success=True--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4
7,stage-08-23,40,40,110,/root/rollouts/2026_09_16/2026_09_16-19_18_08--openvla_oft--episode=8--success=True--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4
7,stage-08-23,80,80,110,/root/rollouts/2026_09_16/2026_09_16-19_18_08--openvla_oft--episode=8--success=True--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4
7,stage-08-23,120,109,110,/root/rollouts/2026_09_16/2026_09_16-19_18_08--openvla_oft--episode=8--success=True--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4
7,stage-08-23,160,109,110,/root/rollouts/2026_09_16/2026_09_16-19_18_08--openvla_oft--episode=8--success=True--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4
7,stage-08-23,219,109,110,/root/rollouts/2026_09_16/2026_09_16-19_18_08--openvla_oft--episode=8--success=True--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4
