configuration,env_seed,init_state_dtype,init_state_index,init_state_sha256,init_state_shape,model_seed,protocol,task_id,success
BF16,479881589,float64,0,4e3eaf7a315bc3bafb6db4837c8eef0e5f8aea717782a2a3ea33139392d966ed,[92],465287134,paired,0,True
BF16,3713942108,float64,1,6c2936dc25a97728b811f9db579687d011cbd231d5472e985775a67ca9892cf8,[92],985901067,paired,0,True
BF16,2254903377,float64,2,a5d4b6d871eb48c276a3fc8499e1429ec1c59df278466aa82de44a93260087a0,[92],1089926278,paired,0,True
BF16,1269467499,float64,3,c12064bdc97da3ba4ca3675548ba9c76ed096ea772bbec9ca9422628c41b1588,[92],428639054,paired,0,True
BF16,976658741,float64,4,63dbd6b627e35e377a62f3e791055bc9051a74cab6fef9eadce7892671160536,[92],1138622588,paired,0,True
BF16,1902436990,float64,0,d116842e01703fbea595511db813a3816c8d9f2302b4e979ebec4f15b7a750a2,[92],895221483,paired,1,True
BF16,3193132351,float64,1,b8757ca36fc25bb010af8934ff98b8d3a221cbd3a5e38e7b07cc8055c3108a0b,[92],2238682485,paired,1,True
BF16,2264057504,float64,2,d45a8bb759e662331e34b0ade8f7a4ca847993b682d3299aaa4894b340c845a0,[92],296476957,paired,1,True
BF16,3330955239,float64,3,9cdfce0fe3434dc2c261272bc32dd3b56956de7c14e1e6d4c8a76aa7323e0f4d,[92],27433045,paired,1,True
BF16,1406908098,float64,4,97916cb27d2a1b9650016b93bbc33aa2855dfbdd11ded29650da8357c5c418e2,[92],1425332404,paired,1,True
BF16,149951664,float64,0,408c455fb617e5320060d643ef80ec2035d4e98600659cc3deb5a1e85482bf76,[92],1881067349,paired,2,True
BF16,842477126,float64,1,05962fe9baf173d80806225d32a331fa8eedcdb5c14a085ee5354715380c0f8f,[92],2880381178,paired,2,True
BF16,52979162,float64,2,111971abb8f2e699872e68aa0ed445287da5c2ed642a5da083a9c9d4d90a6d12,[92],3611984967,paired,2,True
BF16,3892889163,float64,3,8e240fdf6a9c939b6cbf573f7e07a29d3078fb53d22b17dc595b730c0de21fd4,[92],3331343309,paired,2,True
BF16,3817868962,float64,4,ec0ce01e43aac4b4465f6d7932a486df948ce36a096fe5970b677623505673a8,[92],1228687370,paired,2,True
BF16,83054608,float64,0,36424fa758f0e72399a35cefa285d0658e4b5bd17bfb3e2127f85aa2e0944517,[92],317574532,paired,3,True
BF16,974896410,float64,1,3a92ca9cb754b9daca5db603179f05e323c01209edfaf5d287655d5998252f9f,[92],1605081372,paired,3,True
BF16,3267605957,float64,2,1b7b03eb038b60bd3d265226a1f5832c44ebb968731ac264f8983ceebb1774e5,[92],3086421667,paired,3,True
BF16,5015874,float64,3,904c8983a02abc68413c2b0c2b1863f9b7f97a5948b718b9ae113727777ae23a,[92],3235596642,paired,3,True
BF16,3841510475,float64,4,6aac318bd2ff7b4e940c094d4d4eb128449f99e34ce1fc2fb6e3bdba1c474b95,[92],2186097654,paired,3,True
BF16,454137582,float64,0,2e3f91b350eaef1b23c2d4ee14c513b2158a106bff7ed6c249b58e2cf89367f4,[92],2839725875,paired,4,False
BF16,3770009552,float64,1,d1f552d41794709fdcdccf886e4be6384f15a50c1d0e6227a99e08d86e19e23e,[92],17835078,paired,4,False
BF16,2331244752,float64,2,d5a2a728be37ce588fd1326df08b48cb9e1913b333c6719bb7059308783d4731,[92],1139478388,paired,4,True
BF16,4237915398,float64,3,7e950b4903eb62f247605b60952d62aca17222446e05c299de3d8b615756a2fb,[92],2244253804,paired,4,True
BF16,1182429550,float64,4,eacc257cf75be38a89bdf75e5300cded0aee0ec1d0a2ac4b91d4c4cdb11c763b,[92],4040856599,paired,4,True
BF16,1251647445,float64,0,63f019944e240d60a5770936f1eaa3853e38bbfeb1c26c987826fb004ed4346c,[92],1544747915,paired,5,True
BF16,2672444698,float64,1,7e74f7975ea3899ecb94c8bee1f302127d74c600d13393826d7537db89bf9cc1,[92],2607068595,paired,5,True
BF16,3347614016,float64,2,56ae454858e60cf316c3e75237109ba85d8808ab2ef57108c3f9b96c1e839ff3,[92],1925045440,paired,5,True
BF16,1545292882,float64,3,316d2aba39523fa1219e5fd61ee263535f5d42fa5b34541af5397ddbb4de0f9f,[92],2281271119,paired,5,True
BF16,517198148,float64,4,b41c19206da1db4e005476e6a4c4e077a5511aaa69cf52614dc483a9bd53773c,[92],2897598532,paired,5,True
BF16,826398649,float64,0,d81530779b15be6bdfe4935a7a802102e3e3883823b29fefd40a2131e50fd515,[92],1638194258,paired,6,True
BF16,143569100,float64,1,1f2318d9cbd670217d18ba98020fb95f9969550b5cb30709224eb6f2d08319cf,[92],1927004058,paired,6,True
BF16,335908416,float64,2,f6387456ce397a4ffbd6700d00f37cf068df8df4c085350ecd576be0c06fe838,[92],1576122731,paired,6,True
