initialization,sample,action_mse
all,sample-1000.npz,0.04774302989244461
all,sample-1001.npz,0.13966979086399078
all,sample-1002.npz,0.08269736915826797
all,sample-1003.npz,0.09485252946615219
all,sample-1004.npz,0.060701850801706314
all,sample-1005.npz,0.028716837987303734
all,sample-1006.npz,0.03937126323580742
all,sample-1007.npz,0.020740432664752007
all,sample-1008.npz,0.05552111193537712
all,sample-1009.npz,0.00968955922871828
all,sample-1010.npz,0.07906045019626617
all,sample-1011.npz,0.06562687456607819
all,sample-1012.npz,0.11434543132781982
all,sample-1013.npz,0.05039622262120247
all,sample-1014.npz,0.126809760928154
all,sample-1015.npz,0.028247607871890068
all,sample-1016.npz,0.03234947472810745
all,sample-1017.npz,0.048532627522945404
all,sample-1018.npz,0.07260847836732864
all,sample-1019.npz,0.17481598258018494
all,sample-1020.npz,0.02859722450375557
all,sample-1021.npz,0.030403301119804382
all,sample-1022.npz,0.03432021662592888
all,sample-1023.npz,0.0633128359913826
all,sample-1024.npz,0.120475634932518
all,sample-1025.npz,0.060381930321455
all,sample-1026.npz,0.1047794297337532
all,sample-1027.npz,0.10709060728549957
all,sample-1028.npz,0.028270114213228226
all,sample-1029.npz,0.021653909236192703
all,sample-1030.npz,0.10946159809827805
all,sample-1031.npz,0.022279666736721992
action,sample-1000.npz,0.04201672598719597
action,sample-1001.npz,0.14313670992851257
action,sample-1002.npz,0.08879531919956207
action,sample-1003.npz,0.09406454861164093
action,sample-1004.npz,0.06343051046133041
action,sample-1005.npz,0.029860394075512886
action,sample-1006.npz,0.036347486078739166
action,sample-1007.npz,0.024023981764912605
action,sample-1008.npz,0.06360291689634323
action,sample-1009.npz,0.00896547269076109
action,sample-1010.npz,0.07869430631399155
action,sample-1011.npz,0.06887225806713104
action,sample-1012.npz,0.10168365389108658
action,sample-1013.npz,0.047087978571653366
action,sample-1014.npz,0.1326080560684204
action,sample-1015.npz,0.026307526975870132
action,sample-1016.npz,0.032692473381757736
action,sample-1017.npz,0.05604345351457596
action,sample-1018.npz,0.07505462318658829
action,sample-1019.npz,0.17295925319194794
action,sample-1020.npz,0.029578451067209244
action,sample-1021.npz,0.02906128764152527
action,sample-1022.npz,0.03664419800043106
action,sample-1023.npz,0.05876580998301506
action,sample-1024.npz,0.11948241293430328
action,sample-1025.npz,0.06250208616256714
action,sample-1026.npz,0.10253369063138962
action,sample-1027.npz,0.10300294309854507
action,sample-1028.npz,0.02951519750058651
action,sample-1029.npz,0.01943870075047016
action,sample-1030.npz,0.09722542762756348
action,sample-1031.npz,0.02013484016060829
