norm,linear,case,tokens,input_space,mse,relative_mse,reference_rms,candidate_rms,cosine,max_abs_error,reference_zero_fraction,candidate_zero_fraction
vision_backbone.featurizer.blocks.0.norm1,vision_backbone.featurizer.blocks.0.attn.qkv,fp32,8,first_camera_teacher_first_8_flattened_tokens,2.2667873912011853e-14,5.190832594129445e-15,2.0897141460980597,2.0897140502929688,1.0000009536743164,3.814697265625e-06,0.0,0.0
vision_backbone.featurizer.blocks.0.norm1,vision_backbone.featurizer.blocks.0.attn.qkv,bf16,8,first_camera_teacher_first_8_flattened_tokens,7.566255226265639e-05,1.7302616080394743e-05,2.0911472141614436,2.086015462875366,0.9999954104423523,0.125,0.0,0.0
vision_backbone.featurizer.blocks.0.norm1,vision_backbone.featurizer.blocks.0.attn.qkv,fp32_transform_cast_bf16,8,first_camera_teacher_first_8_flattened_tokens,2.926735942310188e-05,6.692899838045673e-06,2.0911472141614436,2.0898845195770264,0.9999979138374329,0.125,0.0,0.0
vision_backbone.featurizer.blocks.0.norm2,vision_backbone.featurizer.blocks.0.mlp.fc1,fp32,8,first_camera_teacher_first_8_flattened_tokens,7.9693108394948e-14,2.5676308645233905e-15,5.5711402224585855,5.571140289306641,1.0000003576278687,3.814697265625e-06,0.0,0.0
vision_backbone.featurizer.blocks.0.norm2,vision_backbone.featurizer.blocks.0.mlp.fc1,bf16,8,first_camera_teacher_first_8_flattened_tokens,0.00017646627384237945,5.688423618332623e-06,5.569739613225277,5.5717692375183105,1.0000065565109253,0.125,0.0,0.0
vision_backbone.featurizer.blocks.0.norm2,vision_backbone.featurizer.blocks.0.mlp.fc1,fp32_transform_cast_bf16,8,first_camera_teacher_first_8_flattened_tokens,0.00020411740115378052,6.579762922137435e-06,5.569739613225277,5.569819450378418,1.000005841255188,0.25,0.0,0.0
vision_backbone.featurizer.blocks.11.norm1,vision_backbone.featurizer.blocks.11.attn.qkv,fp32,8,first_camera_teacher_first_8_flattened_tokens,7.274691645516723e-15,6.990744485874779e-15,1.020106653827035,1.0201066732406616,0.9999993443489075,7.152557373046875e-07,0.0,0.0
vision_backbone.featurizer.blocks.11.norm1,vision_backbone.featurizer.blocks.11.attn.qkv,bf16,8,first_camera_teacher_first_8_flattened_tokens,8.701061233296059e-06,8.359843302040682e-06,1.020204051681756,1.0199568271636963,0.9999983310699463,0.0625,0.0,0.0
vision_backbone.featurizer.blocks.11.norm1,vision_backbone.featurizer.blocks.11.attn.qkv,fp32_transform_cast_bf16,8,first_camera_teacher_first_8_flattened_tokens,8.734733455639798e-06,8.392195045681783e-06,1.020204051681756,1.0203545093536377,0.9999983310699463,0.03125,0.0,0.0
vision_backbone.featurizer.blocks.11.norm2,vision_backbone.featurizer.blocks.11.mlp.fc1,fp32,8,first_camera_teacher_first_8_flattened_tokens,1.7745924697711198e-14,3.667538695380662e-15,2.1996924532154285,2.199692487716675,0.9999997615814209,9.5367431640625e-07,0.0,0.0
vision_backbone.featurizer.blocks.11.norm2,vision_backbone.featurizer.blocks.11.mlp.fc1,bf16,8,first_camera_teacher_first_8_flattened_tokens,3.359653419465758e-05,6.942439269272585e-06,2.199840505193732,2.2003965377807617,1.000005841255188,0.03125,0.0,0.0
vision_backbone.featurizer.blocks.11.norm2,vision_backbone.featurizer.blocks.11.mlp.fc1,fp32_transform_cast_bf16,8,first_camera_teacher_first_8_flattened_tokens,3.1110976124182343e-05,6.428819743682691e-06,2.199840505193732,2.2005271911621094,1.0000059604644775,0.03125,0.0,0.0
vision_backbone.featurizer.blocks.22.norm1,vision_backbone.featurizer.blocks.22.attn.qkv,fp32,8,first_camera_teacher_first_8_flattened_tokens,7.85890382176517e-15,2.288277107618531e-15,1.8532187221043306,1.853218674659729,1.0000011920928955,1.9073486328125e-06,0.0,0.0
vision_backbone.featurizer.blocks.22.norm1,vision_backbone.featurizer.blocks.22.attn.qkv,bf16,8,first_camera_teacher_first_8_flattened_tokens,1.329397491645068e-05,3.871267712051018e-06,1.853108400524602,1.8533743619918823,0.9999983310699463,0.25,0.0,0.0
vision_backbone.featurizer.blocks.22.norm1,vision_backbone.featurizer.blocks.22.attn.qkv,fp32_transform_cast_bf16,8,first_camera_teacher_first_8_flattened_tokens,1.3722361472900957e-05,3.996015882157048e-06,1.853108400524602,1.8534468412399292,0.9999984502792358,0.25,0.0,0.0
vision_backbone.featurizer.blocks.22.norm2,vision_backbone.featurizer.blocks.22.mlp.fc1,fp32,8,first_camera_teacher_first_8_flattened_tokens,3.3371200768017584e-14,3.1523200289613636e-15,3.2536494965479483,3.2536494731903076,0.9999996423721313,9.5367431640625e-07,0.0,0.0
vision_backbone.featurizer.blocks.22.norm2,vision_backbone.featurizer.blocks.22.mlp.fc1,bf16,8,first_camera_teacher_first_8_flattened_tokens,3.81312238459941e-05,3.60159866912239e-06,3.2538139266051656,3.2540078163146973,1.0000063180923462,0.03125,0.0,0.0
vision_backbone.featurizer.blocks.22.norm2,vision_backbone.featurizer.blocks.22.mlp.fc1,fp32_transform_cast_bf16,8,first_camera_teacher_first_8_flattened_tokens,4.02152472815942e-05,3.798440398157681e-06,3.2538139266051656,3.253098487854004,1.0000064373016357,0.0625,0.0,0.0
vision_backbone.fused_featurizer.blocks.0.norm1,vision_backbone.fused_featurizer.blocks.0.attn.qkv,fp32,8,first_camera_teacher_first_8_flattened_tokens,2.285624599266821e-15,1.8115093506146953e-15,1.1232648289693088,1.1232647895812988,1.0000005960464478,4.76837158203125e-07,0.0,0.0
vision_backbone.fused_featurizer.blocks.0.norm1,vision_backbone.fused_featurizer.blocks.0.attn.qkv,bf16,8,first_camera_teacher_first_8_flattened_tokens,6.215575922396965e-06,4.925611864013e-06,1.1233383729200956,1.1233735084533691,0.9999986886978149,0.03125,0.0,0.0
vision_backbone.fused_featurizer.blocks.0.norm1,vision_backbone.fused_featurizer.blocks.0.attn.qkv,fp32_transform_cast_bf16,8,first_camera_teacher_first_8_flattened_tokens,7.39632241675281e-06,5.86130937838719e-06,1.1233383729200956,1.1230933666229248,0.9999979734420776,0.03125,0.0,0.0
vision_backbone.fused_featurizer.blocks.0.norm2,vision_backbone.fused_featurizer.blocks.0.mlp.fc1,fp32,8,first_camera_teacher_first_8_flattened_tokens,1.3529404850674658e-14,1.0387474544568801e-15,3.608979042429968,3.6089789867401123,1.000000238418579,9.5367431640625e-07,0.0,0.0
vision_backbone.fused_featurizer.blocks.0.norm2,vision_backbone.fused_featurizer.blocks.0.mlp.fc1,bf16,8,first_camera_teacher_first_8_flattened_tokens,1.8658784028957598e-05,1.4326347408934492e-06,3.6088923672433304,3.6086394786834717,1.0000067949295044,0.0625,0.0,0.0
