task_id,init_state_index,bf16_success,w4_success,bf16_video,w4_video,source_shard
7,10,False,True,/root/rollouts/2026_09_17/2026_09_17-12_17_17--openvla_oft--episode=76--success=False--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4,/root/rollouts/2026_09_17/2026_09_17-12_34_23--openvla_oft--episode=76--success=True--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4,awq-baseline-shard-05-14-20260917-121652-1344
7,13,False,True,/root/rollouts/2026_09_17/2026_09_17-12_17_17--openvla_oft--episode=79--success=False--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4,/root/rollouts/2026_09_17/2026_09_17-12_34_23--openvla_oft--episode=79--success=True--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4,awq-baseline-shard-05-14-20260917-121652-1344
9,13,False,True,/root/rollouts/2026_09_17/2026_09_17-12_17_17--openvla_oft--episode=99--success=False--task=pick_up_the_black_bowl_on_the_wooden_cabinet_and_p.mp4,/root/rollouts/2026_09_17/2026_09_17-12_34_23--openvla_oft--episode=99--success=True--task=pick_up_the_black_bowl_on_the_wooden_cabinet_and_p.mp4,awq-baseline-shard-05-14-20260917-121652-1344
4,17,True,False,/root/rollouts/2026_09_17/2026_09_17-12_52_42--openvla_oft--episode=43--success=True--task=pick_up_the_black_bowl_in_the_top_drawer_of_the_wo.mp4,/root/rollouts/2026_09_17/2026_09_17-13_09_52--openvla_oft--episode=43--success=False--task=pick_up_the_black_bowl_in_the_top_drawer_of_the_wo.mp4,awq-baseline-shard-15-24-20260917-125221-12241
4,20,True,False,/root/rollouts/2026_09_17/2026_09_17-12_52_42--openvla_oft--episode=46--success=True--task=pick_up_the_black_bowl_in_the_top_drawer_of_the_wo.mp4,/root/rollouts/2026_09_17/2026_09_17-13_09_52--openvla_oft--episode=46--success=False--task=pick_up_the_black_bowl_in_the_top_drawer_of_the_wo.mp4,awq-baseline-shard-15-24-20260917-125221-12241
5,16,False,True,/root/rollouts/2026_09_17/2026_09_17-12_52_42--openvla_oft--episode=52--success=False--task=pick_up_the_black_bowl_on_the_ramekin_and_place_it.mp4,/root/rollouts/2026_09_17/2026_09_17-13_09_52--openvla_oft--episode=52--success=True--task=pick_up_the_black_bowl_on_the_ramekin_and_place_it.mp4,awq-baseline-shard-15-24-20260917-125221-12241
7,18,True,False,/root/rollouts/2026_09_17/2026_09_17-12_52_42--openvla_oft--episode=74--success=True--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4,/root/rollouts/2026_09_17/2026_09_17-13_09_52--openvla_oft--episode=74--success=False--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4,awq-baseline-shard-15-24-20260917-125221-12241
7,23,True,False,/root/rollouts/2026_09_17/2026_09_17-12_52_42--openvla_oft--episode=79--success=True--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4,/root/rollouts/2026_09_17/2026_09_17-13_09_52--openvla_oft--episode=79--success=False--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4,awq-baseline-shard-15-24-20260917-125221-12241
8,15,True,False,/root/rollouts/2026_09_17/2026_09_17-12_52_42--openvla_oft--episode=81--success=True--task=pick_up_the_black_bowl_next_to_the_plate_and_place.mp4,/root/rollouts/2026_09_17/2026_09_17-13_09_52--openvla_oft--episode=81--success=False--task=pick_up_the_black_bowl_next_to_the_plate_and_place.mp4,awq-baseline-shard-15-24-20260917-125221-12241
9,0,True,False,/root/rollouts/2026_09_17/2026_09_17-20_02_01--openvla_oft--episode=46--success=True--task=pick_up_the_black_bowl_on_the_wooden_cabinet_and_p.mp4,/root/rollouts/2026_09_17/2026_09_17-20_11_04--openvla_oft--episode=46--success=False--task=pick_up_the_black_bowl_on_the_wooden_cabinet_and_p.mp4,awq-baseline-shard-00-04-20260917-200140-26212
