case,task_id,episodes,successes,bf16_successes
language-w2-clip,0,5,0,5
language-w2-clip,1,5,0,5
language-w2-clip,2,5,0,5
language-w2-clip,3,5,0,5
language-w2-clip,4,5,0,5
language-w2-clip,5,5,0,5
language-w2-clip,6,5,0,5
language-w2-clip,7,5,0,5
language-w2-clip,8,5,0,5
language-w2-clip,9,5,0,5
language-w2-g64-clip,0,5,0,5
language-w2-g64-clip,1,5,0,5
language-w2-g64-clip,2,5,0,5
language-w2-g64-clip,3,5,0,5
language-w2-g64-clip,4,5,0,5
language-w2-g64-clip,5,5,0,5
language-w2-g64-clip,6,5,0,5
language-w2-g64-clip,7,5,0,5
language-w2-g64-clip,8,5,0,5
language-w2-g64-clip,9,5,0,5
language-w2-g64-no-clip,0,5,5,5
language-w2-g64-no-clip,1,5,1,5
language-w2-g64-no-clip,2,5,5,5
language-w2-g64-no-clip,3,5,3,5
language-w2-g64-no-clip,4,5,0,5
language-w2-g64-no-clip,5,5,2,5
language-w2-g64-no-clip,6,5,1,5
language-w2-g64-no-clip,7,5,0,5
language-w2-g64-no-clip,8,5,3,5
language-w2-g64-no-clip,9,5,0,5
language-w2-no-clip,0,5,4,5
language-w2-no-clip,1,5,0,5
language-w2-no-clip,2,5,3,5
language-w2-no-clip,3,5,0,5
language-w2-no-clip,4,5,0,5
language-w2-no-clip,5,5,0,5
language-w2-no-clip,6,5,0,5
language-w2-no-clip,7,5,0,5
language-w2-no-clip,8,5,1,5
language-w2-no-clip,9,5,0,5
vision-w2,0,25,25,25
vision-w2,1,25,18,25
vision-w2,2,25,25,24
vision-w2,3,25,25,25
vision-w2,4,25,25,25
vision-w2,5,25,19,23
vision-w2,6,25,25,25
vision-w2,7,25,20,21
vision-w2,8,25,25,25
vision-w2,9,25,23,24
