case,module,rank,adapter_parameters,residual_frobenius_unexplained_fraction,input_diagonal_unexplained_fraction,response_unexplained_fraction,init,seed
Response SVD rank8,language_model.model.layers.8.self_attn.q_proj,8,65536,0.9933586716651917,0.9933586716651917,0.11487680673599243,randomized_svd_calibration_response_not_training,600723156
Response SVD rank8,language_model.model.layers.8.self_attn.k_proj,8,65536,0.9923505783081055,0.9923505783081055,0.11125035583972931,randomized_svd_calibration_response_not_training,671879264
Response SVD rank8,language_model.model.layers.8.self_attn.v_proj,8,65536,0.995798647403717,0.995798647403717,0.1269461214542389,randomized_svd_calibration_response_not_training,677178197
Response SVD rank8,language_model.model.layers.8.self_attn.o_proj,8,65536,0.9929819703102112,0.9929819703102112,0.08772553503513336,randomized_svd_calibration_response_not_training,2582803191
Response SVD rank8,language_model.model.layers.8.mlp.gate_proj,8,120832,0.9972661137580872,0.9972661137580872,0.13152748346328735,randomized_svd_calibration_response_not_training,3169292685
Response SVD rank8,language_model.model.layers.8.mlp.up_proj,8,120832,0.9973030090332031,0.9973030090332031,0.13052073121070862,randomized_svd_calibration_response_not_training,1875256024
Response SVD rank8,language_model.model.layers.8.mlp.down_proj,8,120832,0.9968897104263306,0.9968897104263306,0.18893185257911682,randomized_svd_calibration_response_not_training,1008555339
Response SVD rank8,language_model.model.layers.9.self_attn.q_proj,8,65536,0.9939005970954895,0.9939005970954895,0.11449994146823883,randomized_svd_calibration_response_not_training,723516639
Response SVD rank8,language_model.model.layers.9.self_attn.k_proj,8,65536,0.9942842721939087,0.9942842721939087,0.11572066694498062,randomized_svd_calibration_response_not_training,1014038165
Response SVD rank8,language_model.model.layers.9.self_attn.v_proj,8,65536,0.995778501033783,0.995778501033783,0.1278352588415146,randomized_svd_calibration_response_not_training,1837934926
Response SVD rank8,language_model.model.layers.9.self_attn.o_proj,8,65536,0.9948266744613647,0.9948266744613647,0.10505122691392899,randomized_svd_calibration_response_not_training,1079540553
Response SVD rank8,language_model.model.layers.9.mlp.gate_proj,8,120832,0.9972456097602844,0.9972456097602844,0.14285270869731903,randomized_svd_calibration_response_not_training,2085728913
Response SVD rank8,language_model.model.layers.9.mlp.up_proj,8,120832,0.9973146319389343,0.9973146319389343,0.14390484988689423,randomized_svd_calibration_response_not_training,2858620383
Response SVD rank8,language_model.model.layers.9.mlp.down_proj,8,120832,0.9971218109130859,0.9971218109130859,0.20506125688552856,randomized_svd_calibration_response_not_training,497099024
Response SVD rank8,language_model.model.layers.10.self_attn.q_proj,8,65536,0.994166910648346,0.994166910648346,0.12734656035900116,randomized_svd_calibration_response_not_training,1121720186
