configuration,sample,action_mse,gripper_disagreements
repeat,sample-0064.npz,0.0,0
repeat,sample-0065.npz,0.0,0
repeat,sample-0066.npz,0.0,0
repeat,sample-0067.npz,0.0,0
repeat,sample-0068.npz,0.0,0
repeat,sample-0069.npz,0.0,0
repeat,sample-0070.npz,0.0,0
repeat,sample-0071.npz,0.0,0
smooth-only,sample-0064.npz,1.3976574564367183e-06,0
smooth-only,sample-0065.npz,0.0010221635457128286,1
smooth-only,sample-0066.npz,1.2401433195918798e-06,0
smooth-only,sample-0067.npz,0.00018809176981449127,0
smooth-only,sample-0068.npz,1.4003973092258093e-06,0
smooth-only,sample-0069.npz,1.3634861716127489e-05,0
smooth-only,sample-0070.npz,4.928192993247649e-06,0
smooth-only,sample-0071.npz,1.9954836716351565e-06,0
no-language,sample-0064.npz,8.854632369548199e-07,0
no-language,sample-0065.npz,0.0005603093886747956,1
no-language,sample-0066.npz,1.4508675576507812e-06,0
no-language,sample-0067.npz,0.00015166767116170377,0
no-language,sample-0068.npz,1.6271244476229185e-06,0
no-language,sample-0069.npz,9.743733244249597e-05,0
no-language,sample-0070.npz,2.721673808991909e-06,0
no-language,sample-0071.npz,2.753260105237132e-06,0
no-language-oracle,sample-0064.npz,0.0,0
no-language-oracle,sample-0065.npz,0.0,0
no-language-oracle,sample-0066.npz,0.0,0
no-language-oracle,sample-0067.npz,0.0,0
no-language-oracle,sample-0068.npz,0.0,0
no-language-oracle,sample-0069.npz,0.0,0
no-language-oracle,sample-0070.npz,0.0,0
no-language-oracle,sample-0071.npz,0.0,0
