configuration,sample,dimension,normalized_rmse
W2 no-clip baseline,sample-1000.npz,0,0.10476993769407272
W2 no-clip baseline,sample-1000.npz,1,0.07897427678108215
W2 no-clip baseline,sample-1000.npz,2,0.32782331109046936
W2 no-clip baseline,sample-1000.npz,3,0.30427053570747375
W2 no-clip baseline,sample-1000.npz,4,0.17777660489082336
W2 no-clip baseline,sample-1000.npz,5,0.2734192907810211
W2 no-clip baseline,sample-1000.npz,6,0.07314446568489075
W2 no-clip baseline,sample-1001.npz,0,0.3225178122520447
W2 no-clip baseline,sample-1001.npz,1,0.8610753417015076
W2 no-clip baseline,sample-1001.npz,2,0.3421042859554291
W2 no-clip baseline,sample-1001.npz,3,0.15075640380382538
W2 no-clip baseline,sample-1001.npz,4,0.11919987946748734
W2 no-clip baseline,sample-1001.npz,5,0.06514095515012741
W2 no-clip baseline,sample-1001.npz,6,0.1607624739408493
W2 no-clip baseline,sample-1002.npz,0,0.18423059582710266
W2 no-clip baseline,sample-1002.npz,1,0.25906094908714294
W2 no-clip baseline,sample-1002.npz,2,0.30445900559425354
W2 no-clip baseline,sample-1002.npz,3,0.09245243668556213
W2 no-clip baseline,sample-1002.npz,4,0.40795665979385376
W2 no-clip baseline,sample-1002.npz,5,0.2676563262939453
W2 no-clip baseline,sample-1002.npz,6,0.40042856335639954
W2 no-clip baseline,sample-1003.npz,0,0.38298043608665466
W2 no-clip baseline,sample-1003.npz,1,0.137788787484169
W2 no-clip baseline,sample-1003.npz,2,0.07566941529512405
W2 no-clip baseline,sample-1003.npz,3,0.389211505651474
W2 no-clip baseline,sample-1003.npz,4,0.4308972954750061
W2 no-clip baseline,sample-1003.npz,5,0.4254578948020935
W2 no-clip baseline,sample-1003.npz,6,0.04721960052847862
W2 no-clip baseline,sample-1004.npz,0,0.2667526602745056
W2 no-clip baseline,sample-1004.npz,1,0.4547332525253296
W2 no-clip baseline,sample-1004.npz,2,0.25882554054260254
W2 no-clip baseline,sample-1004.npz,3,0.1865314245223999
W2 no-clip baseline,sample-1004.npz,4,0.20697033405303955
W2 no-clip baseline,sample-1004.npz,5,0.10968576371669769
W2 no-clip baseline,sample-1004.npz,6,0.00978656206279993
W2 no-clip baseline,sample-1005.npz,0,0.08420126885175705
W2 no-clip baseline,sample-1005.npz,1,0.06678394973278046
W2 no-clip baseline,sample-1005.npz,2,0.13884712755680084
W2 no-clip baseline,sample-1005.npz,3,0.13052964210510254
W2 no-clip baseline,sample-1005.npz,4,0.14757126569747925
W2 no-clip baseline,sample-1005.npz,5,0.35151761770248413
W2 no-clip baseline,sample-1005.npz,6,0.009649931453168392
W2 no-clip baseline,sample-1006.npz,0,0.11406319588422775
W2 no-clip baseline,sample-1006.npz,1,0.12149496376514435
W2 no-clip baseline,sample-1006.npz,2,0.3414199948310852
W2 no-clip baseline,sample-1006.npz,3,0.07814525067806244
W2 no-clip baseline,sample-1006.npz,4,0.3197801411151886
W2 no-clip baseline,sample-1006.npz,5,0.27412256598472595
W2 no-clip baseline,sample-1006.npz,6,0.11491946130990982
W2 no-clip baseline,sample-1007.npz,0,0.11298518627882004
W2 no-clip baseline,sample-1007.npz,1,0.28986966609954834
W2 no-clip baseline,sample-1007.npz,2,0.21705955266952515
W2 no-clip baseline,sample-1007.npz,3,0.10764454305171967
W2 no-clip baseline,sample-1007.npz,4,0.05105619132518768
W2 no-clip baseline,sample-1007.npz,5,0.05623282492160797
W2 no-clip baseline,sample-1007.npz,6,0.02716825157403946
W2 no-clip baseline,sample-1008.npz,0,0.11233687400817871
W2 no-clip baseline,sample-1008.npz,1,0.24230648577213287
W2 no-clip baseline,sample-1008.npz,2,0.23498134315013885
W2 no-clip baseline,sample-1008.npz,3,0.36470359563827515
W2 no-clip baseline,sample-1008.npz,4,0.4211532771587372
W2 no-clip baseline,sample-1008.npz,5,0.18159261345863342
W2 no-clip baseline,sample-1008.npz,6,0.02235683612525463
W2 no-clip baseline,sample-1009.npz,0,0.10375791043043137
W2 no-clip baseline,sample-1009.npz,1,0.199696883559227
W2 no-clip baseline,sample-1009.npz,2,0.09325750917196274
W2 no-clip baseline,sample-1009.npz,3,0.04713955521583557
W2 no-clip baseline,sample-1009.npz,4,0.04201524704694748
W2 no-clip baseline,sample-1009.npz,5,0.04283782094717026
W2 no-clip baseline,sample-1009.npz,6,0.04978126287460327
W2 no-clip baseline,sample-1010.npz,0,0.2026037722826004
W2 no-clip baseline,sample-1010.npz,1,0.17386110126972198
W2 no-clip baseline,sample-1010.npz,2,0.2805689573287964
W2 no-clip baseline,sample-1010.npz,3,0.4314580261707306
W2 no-clip baseline,sample-1010.npz,4,0.2498873919248581
W2 no-clip baseline,sample-1010.npz,5,0.11667275428771973
W2 no-clip baseline,sample-1010.npz,6,0.31454962491989136
W2 no-clip baseline,sample-1011.npz,0,0.41719815135002136
W2 no-clip baseline,sample-1011.npz,1,0.3350640833377838
W2 no-clip baseline,sample-1011.npz,2,0.37931501865386963
W2 no-clip baseline,sample-1011.npz,3,0.09407006949186325
W2 no-clip baseline,sample-1011.npz,4,0.13857655227184296
W2 no-clip baseline,sample-1011.npz,5,0.1000828891992569
W2 no-clip baseline,sample-1011.npz,6,0.010985292494297028
W2 no-clip baseline,sample-1012.npz,0,0.2952488958835602
W2 no-clip baseline,sample-1012.npz,1,0.25404512882232666
W2 no-clip baseline,sample-1012.npz,2,0.16585300862789154
W2 no-clip baseline,sample-1012.npz,3,0.5827904939651489
W2 no-clip baseline,sample-1012.npz,4,0.09827763587236404
W2 no-clip baseline,sample-1012.npz,5,0.27478790283203125
W2 no-clip baseline,sample-1012.npz,6,0.41193947196006775
W2 no-clip baseline,sample-1013.npz,0,0.24456869065761566
W2 no-clip baseline,sample-1013.npz,1,0.19131779670715332
W2 no-clip baseline,sample-1013.npz,2,0.2658977210521698
W2 no-clip baseline,sample-1013.npz,3,0.23682565987110138
W2 no-clip baseline,sample-1013.npz,4,0.4384344518184662
W2 no-clip baseline,sample-1013.npz,5,0.045654296875
W2 no-clip baseline,sample-1013.npz,6,0.05220729112625122
W2 no-clip baseline,sample-1014.npz,0,0.2332257330417633
W2 no-clip baseline,sample-1014.npz,1,0.15726670622825623
W2 no-clip baseline,sample-1014.npz,2,0.1623053103685379
W2 no-clip baseline,sample-1014.npz,3,0.8217431306838989
W2 no-clip baseline,sample-1014.npz,4,0.16933885216712952
W2 no-clip baseline,sample-1014.npz,5,0.14397311210632324
W2 no-clip baseline,sample-1014.npz,6,0.3366033136844635
W2 no-clip baseline,sample-1015.npz,0,0.1095106452703476
W2 no-clip baseline,sample-1015.npz,1,0.29667720198631287
W2 no-clip baseline,sample-1015.npz,2,0.26337534189224243
W2 no-clip baseline,sample-1015.npz,3,0.16402679681777954
W2 no-clip baseline,sample-1015.npz,4,0.16236884891986847
W2 no-clip baseline,sample-1015.npz,5,0.0364764966070652
W2 no-clip baseline,sample-1015.npz,6,0.026423389092087746
W2 no-clip baseline,sample-1016.npz,0,0.24917274713516235
W2 no-clip baseline,sample-1016.npz,1,0.16829562187194824
W2 no-clip baseline,sample-1016.npz,2,0.16211684048175812
W2 no-clip baseline,sample-1016.npz,3,0.11147703230381012
W2 no-clip baseline,sample-1016.npz,4,0.17420201003551483
W2 no-clip baseline,sample-1016.npz,5,0.2483573853969574
W2 no-clip baseline,sample-1016.npz,6,0.014028961770236492
W2 no-clip baseline,sample-1017.npz,0,0.07351592928171158
W2 no-clip baseline,sample-1017.npz,1,0.2365352213382721
W2 no-clip baseline,sample-1017.npz,2,0.07985749840736389
W2 no-clip baseline,sample-1017.npz,3,0.29054853320121765
W2 no-clip baseline,sample-1017.npz,4,0.17272651195526123
W2 no-clip baseline,sample-1017.npz,5,0.44505539536476135
W2 no-clip baseline,sample-1017.npz,6,0.038268815726041794
W2 no-clip baseline,sample-1018.npz,0,0.17906956374645233
W2 no-clip baseline,sample-1018.npz,1,0.21299587190151215
W2 no-clip baseline,sample-1018.npz,2,0.619296669960022
W2 no-clip baseline,sample-1018.npz,3,0.12591369450092316
W2 no-clip baseline,sample-1018.npz,4,0.11754357814788818
W2 no-clip baseline,sample-1018.npz,5,0.21969082951545715
W2 no-clip baseline,sample-1018.npz,6,0.15199346840381622
W2 no-clip baseline,sample-1019.npz,0,0.22863349318504333
W2 no-clip baseline,sample-1019.npz,1,0.24463830888271332
W2 no-clip baseline,sample-1019.npz,2,0.24182593822479248
W2 no-clip baseline,sample-1019.npz,3,0.785173773765564
W2 no-clip baseline,sample-1019.npz,4,0.6754822731018066
W2 no-clip baseline,sample-1019.npz,5,0.09115805476903915
W2 no-clip baseline,sample-1019.npz,6,0.03321438655257225
W2 no-clip baseline,sample-1020.npz,0,0.19275161623954773
W2 no-clip baseline,sample-1020.npz,1,0.3408973515033722
W2 no-clip baseline,sample-1020.npz,2,0.13012586534023285
W2 no-clip baseline,sample-1020.npz,3,0.14433246850967407
W2 no-clip baseline,sample-1020.npz,4,0.08195596933364868
W2 no-clip baseline,sample-1020.npz,5,0.18196596205234528
W2 no-clip baseline,sample-1020.npz,6,0.03961864113807678
W2 no-clip baseline,sample-1021.npz,0,0.4024409055709839
W2 no-clip baseline,sample-1021.npz,1,0.06726240366697311
W2 no-clip baseline,sample-1021.npz,2,0.11759300529956818
W2 no-clip baseline,sample-1021.npz,3,0.0928526446223259
W2 no-clip baseline,sample-1021.npz,4,0.08101481199264526
W2 no-clip baseline,sample-1021.npz,5,0.04663405567407608
W2 no-clip baseline,sample-1021.npz,6,0.06101757660508156
W2 no-clip baseline,sample-1022.npz,0,0.05054318904876709
W2 no-clip baseline,sample-1022.npz,1,0.2811991274356842
W2 no-clip baseline,sample-1022.npz,2,0.24350222945213318
W2 no-clip baseline,sample-1022.npz,3,0.1427251696586609
W2 no-clip baseline,sample-1022.npz,4,0.28896665573120117
W2 no-clip baseline,sample-1022.npz,5,0.03884464502334595
W2 no-clip baseline,sample-1022.npz,6,0.051761116832494736
W2 no-clip baseline,sample-1023.npz,0,0.06453068554401398
W2 no-clip baseline,sample-1023.npz,1,0.15922972559928894
W2 no-clip baseline,sample-1023.npz,2,0.3952611982822418
W2 no-clip baseline,sample-1023.npz,3,0.03720615431666374
W2 no-clip baseline,sample-1023.npz,4,0.2134922295808792
W2 no-clip baseline,sample-1023.npz,5,0.500127375125885
W2 no-clip baseline,sample-1023.npz,6,0.0932297557592392
W2 no-clip baseline,sample-1024.npz,0,0.10766113549470901
W2 no-clip baseline,sample-1024.npz,1,0.14394323527812958
W2 no-clip baseline,sample-1024.npz,2,0.16149863600730896
W2 no-clip baseline,sample-1024.npz,3,0.6896589398384094
W2 no-clip baseline,sample-1024.npz,4,0.2198820859193802
