case,sample,action_mse
fp32-repeat,sample-0064.npz,7.032358553260565e-07
fp32-repeat,sample-0065.npz,0.00022873978014104068
fp32-repeat,sample-0066.npz,9.300295573666517e-07
fp32-repeat,sample-0067.npz,0.0001967769057955593
fp32-repeat,sample-0068.npz,3.210734575986862e-07
fp32-repeat,sample-0069.npz,1.1821094631159212e-05
fp32-repeat,sample-0070.npz,2.251089881610824e-06
fp32-repeat,sample-0071.npz,2.004123189180973e-06
fp32-smooth,sample-0064.npz,8.499565637976048e-07
fp32-smooth,sample-0065.npz,0.0017622450832277536
fp32-smooth,sample-0066.npz,1.0766462992251036e-06
fp32-smooth,sample-0067.npz,7.382489275187254e-05
fp32-smooth,sample-0068.npz,8.470711350128113e-07
fp32-smooth,sample-0069.npz,6.23046507826075e-05
fp32-smooth,sample-0070.npz,2.91306059807539e-06
fp32-smooth,sample-0071.npz,2.790246753647807e-06
