case,task_id,episodes,successes,bf16_successes
language-w2-clip,0,5,0,5
language-w2-clip,1,5,0,5
language-w2-clip,2,5,0,5
language-w2-clip,3,5,0,5
language-w2-clip,4,5,0,5
language-w2-clip,5,5,0,5
language-w2-clip,6,5,0,5
language-w2-clip,7,5,0,5
language-w2-clip,8,5,0,5
language-w2-clip,9,5,0,5
language-w2-g64-clip,0,5,0,5
language-w2-g64-clip,1,5,0,5
language-w2-g64-clip,2,5,0,5
language-w2-g64-clip,3,5,0,5
language-w2-g64-clip,4,5,0,5
language-w2-g64-clip,5,5,0,5
language-w2-g64-clip,6,5,0,5
language-w2-g64-clip,7,5,0,5
language-w2-g64-clip,8,5,0,5
language-w2-g64-clip,9,5,0,5
language-w2-g64-no-clip,0,5,5,5
language-w2-g64-no-clip,1,5,1,5
language-w2-g64-no-clip,2,5,5,5
language-w2-g64-no-clip,3,5,3,5
language-w2-g64-no-clip,4,5,0,5
language-w2-g64-no-clip,5,5,2,5
language-w2-g64-no-clip,6,5,1,5
language-w2-g64-no-clip,7,5,0,5
language-w2-g64-no-clip,8,5,3,5
language-w2-g64-no-clip,9,5,0,5
language-w2-g64-no-clip-attention,0,15,10,15
language-w2-g64-no-clip-attention,1,15,6,15
language-w2-g64-no-clip-attention,2,15,10,15
language-w2-g64-no-clip-attention,3,15,15,15
language-w2-g64-no-clip-attention,4,15,11,15
language-w2-g64-no-clip-attention,5,15,6,14
language-w2-g64-no-clip-attention,6,15,6,15
language-w2-g64-no-clip-attention,7,15,3,13
language-w2-g64-no-clip-attention,8,15,8,15
language-w2-g64-no-clip-attention,9,15,3,14
language-w2-g64-no-clip-mlp,0,5,0,5
language-w2-g64-no-clip-mlp,1,5,0,5
language-w2-g64-no-clip-mlp,2,5,0,5
language-w2-g64-no-clip-mlp,3,5,0,5
language-w2-g64-no-clip-mlp,4,5,0,5
language-w2-g64-no-clip-mlp,5,5,0,5
language-w2-g64-no-clip-mlp,6,5,0,5
language-w2-g64-no-clip-mlp,7,5,0,5
language-w2-g64-no-clip-mlp,8,5,0,5
language-w2-g64-no-clip-mlp,9,5,0,5
language-w2-no-clip,0,5,4,5
language-w2-no-clip,1,5,0,5
language-w2-no-clip,2,5,3,5
language-w2-no-clip,3,5,0,5
language-w2-no-clip,4,5,0,5
language-w2-no-clip,5,5,0,5
language-w2-no-clip,6,5,0,5
language-w2-no-clip,7,5,0,5
language-w2-no-clip,8,5,1,5
language-w2-no-clip,9,5,0,5
vision-w2,0,50,50,50
vision-w2,1,50,33,50
vision-w2,2,50,50,49
vision-w2,3,50,50,50
vision-w2,4,50,49,48
vision-w2,5,50,40,47
vision-w2,6,50,50,50
vision-w2,7,50,40,45
vision-w2,8,50,50,50
vision-w2,9,50,48,48
