task_id,init_state_index,bf16_success,candidate_success,bf16_video,candidate_video,source_shard
1,7,True,False,/root/rollouts/2026_09_17/2026_09_17-12_17_17--openvla_oft--episode=13--success=True--task=pick_up_the_black_bowl_next_to_the_ramekin_and_pla.mp4,/root/rollouts/2026_09_17/2026_09_17-20_25_12--openvla_oft--episode=13--success=False--task=pick_up_the_black_bowl_next_to_the_ramekin_and_pla.mp4,awq-scope-shard-vision-w2-05-14-20260917-202448-31883
1,8,True,False,/root/rollouts/2026_09_17/2026_09_17-12_17_17--openvla_oft--episode=14--success=True--task=pick_up_the_black_bowl_next_to_the_ramekin_and_pla.mp4,/root/rollouts/2026_09_17/2026_09_17-20_25_12--openvla_oft--episode=14--success=False--task=pick_up_the_black_bowl_next_to_the_ramekin_and_pla.mp4,awq-scope-shard-vision-w2-05-14-20260917-202448-31883
1,14,True,False,/root/rollouts/2026_09_17/2026_09_17-12_17_17--openvla_oft--episode=20--success=True--task=pick_up_the_black_bowl_next_to_the_ramekin_and_pla.mp4,/root/rollouts/2026_09_17/2026_09_17-20_25_12--openvla_oft--episode=20--success=False--task=pick_up_the_black_bowl_next_to_the_ramekin_and_pla.mp4,awq-scope-shard-vision-w2-05-14-20260917-202448-31883
1,19,True,False,/root/rollouts/2026_09_17/2026_09_17-12_52_42--openvla_oft--episode=15--success=True--task=pick_up_the_black_bowl_next_to_the_ramekin_and_pla.mp4,/root/rollouts/2026_09_17/2026_09_17-21_46_17--openvla_oft--episode=15--success=False--task=pick_up_the_black_bowl_next_to_the_ramekin_and_pla.mp4,awq-scope-shard-vision-w2-15-24-20260917-214554-50802
1,20,True,False,/root/rollouts/2026_09_17/2026_09_17-12_52_42--openvla_oft--episode=16--success=True--task=pick_up_the_black_bowl_next_to_the_ramekin_and_pla.mp4,/root/rollouts/2026_09_17/2026_09_17-21_46_17--openvla_oft--episode=16--success=False--task=pick_up_the_black_bowl_next_to_the_ramekin_and_pla.mp4,awq-scope-shard-vision-w2-15-24-20260917-214554-50802
1,22,True,False,/root/rollouts/2026_09_17/2026_09_17-12_52_42--openvla_oft--episode=18--success=True--task=pick_up_the_black_bowl_next_to_the_ramekin_and_pla.mp4,/root/rollouts/2026_09_17/2026_09_17-21_46_17--openvla_oft--episode=18--success=False--task=pick_up_the_black_bowl_next_to_the_ramekin_and_pla.mp4,awq-scope-shard-vision-w2-15-24-20260917-214554-50802
1,27,True,False,/root/rollouts/2026_09_17/2026_09_17-18_26_56--openvla_oft--episode=9--success=True--task=pick_up_the_black_bowl_next_to_the_ramekin_and_pla.mp4,/root/rollouts/2026_09_17/2026_09_17-22_05_27--openvla_oft--episode=8--success=False--task=pick_up_the_black_bowl_next_to_the_ramekin_and_pla.mp4,awq-scope-shard-vision-w2-25-29-20260917-220504-56292
1,30,True,False,/root/rollouts/2026_09_17/2026_09_17-18_26_56--openvla_oft--episode=12--success=True--task=pick_up_the_black_bowl_next_to_the_ramekin_and_pla.mp4,/root/rollouts/2026_09_18/2026_09_18-01_32_15--openvla_oft--episode=11--success=False--task=pick_up_the_black_bowl_next_to_the_ramekin_and_pla.mp4,awq-scope-shard-vision-w2-30-39-20260918-013150-63930
1,35,True,False,/root/rollouts/2026_09_17/2026_09_17-19_01_24--openvla_oft--episode=11--success=True--task=pick_up_the_black_bowl_next_to_the_ramekin_and_pla.mp4,/root/rollouts/2026_09_18/2026_09_18-01_32_15--openvla_oft--episode=16--success=False--task=pick_up_the_black_bowl_next_to_the_ramekin_and_pla.mp4,awq-scope-shard-vision-w2-30-39-20260918-013150-63930
1,36,True,False,/root/rollouts/2026_09_17/2026_09_17-19_01_24--openvla_oft--episode=12--success=True--task=pick_up_the_black_bowl_next_to_the_ramekin_and_pla.mp4,/root/rollouts/2026_09_18/2026_09_18-01_32_15--openvla_oft--episode=17--success=False--task=pick_up_the_black_bowl_next_to_the_ramekin_and_pla.mp4,awq-scope-shard-vision-w2-30-39-20260918-013150-63930
