evidence_class,w4_blocks,block_count,initial_states,episodes,successes,success_rate,result_directory
full,16-23,8,5-9,50,28,0.56,awq-p0-stage-full-w2-dino64-siglip128-language-g64-attention-stage-16-17-18-19-20-21-22-23-05-09-20260923-205540-1244
screen,8-11,4,5,10,1,0.10,awq-p0-stage-full-w2-dino64-siglip128-language-g64-attention-stage-8-9-10-11-05-05-20260923-210900-4398
screen,12-15,4,5,10,5,0.50,awq-p0-stage-full-w2-dino64-siglip128-language-g64-attention-stage-12-13-14-15-05-05-20260923-211244-5278
screen,16-19,4,5,10,6,0.60,awq-p0-stage-full-w2-dino64-siglip128-language-g64-attention-stage-16-17-18-19-05-05-20260923-211606-6153
screen,20-23,4,5,10,5,0.50,awq-p0-stage-full-w2-dino64-siglip128-language-g64-attention-stage-20-21-22-23-05-05-20260923-211921-7024
full,12-23,12,5-9,50,39,0.78,awq-p0-stage-full-w2-dino64-siglip128-language-g64-attention-stage-12-13-14-15-16-17-18-19-20-21-22-23-05-09-20260923-212457-8058
full,12-19,8,5-9,50,16,0.32,awq-p0-stage-full-w2-dino64-siglip128-language-g64-attention-stage-12-13-14-15-16-17-18-19-05-09-20260923-213627-11087
screen,8-19,12,5,10,5,0.50,awq-p0-stage-full-w2-dino64-siglip128-language-g64-attention-stage-8-9-10-11-12-13-14-15-16-17-18-19-05-05-20260923-215034-14227
screen,8-15+20-23,12,5,10,9,0.90,awq-p0-stage-full-w2-dino64-siglip128-language-g64-attention-stage-8-9-10-11-12-13-14-15-20-21-22-23-05-05-20260923-215354-15096
screen,8-11+16-23,12,5,10,9,0.90,awq-p0-stage-full-w2-dino64-siglip128-language-g64-attention-stage-8-9-10-11-16-17-18-19-20-21-22-23-05-05-20260923-215650-15960
full,8-15+20-23,12,5-9,50,42,0.84,awq-p0-stage-full-w2-dino64-siglip128-language-g64-attention-stage-8-9-10-11-12-13-14-15-20-21-22-23-05-09-20260923-220907-17142
full,8-11+16-23,12,5-9,50,40,0.80,awq-p0-stage-full-w2-dino64-siglip128-language-g64-attention-stage-8-9-10-11-16-17-18-19-20-21-22-23-05-09-20260923-221830-20021
screen,8-11+20-23,8,5,10,8,0.80,awq-p0-stage-full-w2-dino64-siglip128-language-g64-attention-stage-8-9-10-11-20-21-22-23-05-05-20260923-223025-23122
screen,12-15+20-23,8,5,10,7,0.70,awq-p0-stage-full-w2-dino64-siglip128-language-g64-attention-stage-12-13-14-15-20-21-22-23-05-05-20260923-223327-23985
full,8-11+20-23,8,5-9,50,36,0.72,awq-p0-stage-full-w2-dino64-siglip128-language-g64-attention-stage-8-9-10-11-20-21-22-23-05-09-20260923-224003-25026
full,12-15+20-23,8,5-9,50,37,0.74,awq-p0-stage-full-w2-dino64-siglip128-language-g64-attention-stage-12-13-14-15-20-21-22-23-05-09-20260923-225057-27948
screen,8-13+20-23,10,5,10,8,0.80,awq-p0-stage-full-w2-dino64-siglip128-language-g64-attention-stage-8-9-10-11-12-13-20-21-22-23-05-05-20260923-230312-30900
screen,10-15+20-23,10,5,10,8,0.80,awq-p0-stage-full-w2-dino64-siglip128-language-g64-attention-stage-10-11-12-13-14-15-20-21-22-23-05-05-20260923-230616-31750
screen,8-9+12-15+20-23,10,5,10,7,0.70,awq-p0-stage-full-w2-dino64-siglip128-language-g64-attention-stage-8-9-12-13-14-15-20-21-22-23-05-05-20260923-230919-32580
screen,8-11+14-15+20-23,10,5,10,8,0.80,awq-p0-stage-full-w2-dino64-siglip128-language-g64-attention-stage-8-9-10-11-14-15-20-21-22-23-05-05-20260923-231227-33414
full,10-15+20-23,10,5-9,50,39,0.78,awq-p0-stage-full-w2-dino64-siglip128-language-g64-attention-stage-10-11-12-13-14-15-20-21-22-23-05-09-20260923-231639-34324
full,8-13+20-23,10,5-9,50,38,0.76,awq-p0-stage-full-w2-dino64-siglip128-language-g64-attention-stage-8-9-10-11-12-13-20-21-22-23-05-09-20260923-232759-37252
